section,section_id,section_sis_id,submitted,attempt,2253791: How many classes have you missed so far this quarter?,1.0,"2253792: If you had a choice, what is your ideal exam day?",1.0,"2253793: How would you rate the difficulty of the material in ""Part 2"" (Chapters 5-8)?",1.0,2253794: How would you rate the demands of theactivities?,1.0,"2253795: Not counting the time spent in class, on average how much time a week do you spend on STAT 202 outside of class (reading check, finishing activities, studying, etc.)",1.0,2253796: How would you rate the usefulness of the lecture slides?,1.0,2253797: What are your thoughts on the course website?,1.0,2253798: Which method do you usually use to complete the reading checks?,1.0,"2253799: I have had frequent ""loading issues"" with the reading checks (freezes and need to ""restart"" from beginning).",1.0,2253800: Provide your view on Aha Slides,1.0,2253801: Did you actually study for the exam?,1.0,2253802: How would you rate thedifficultyof Exam 2?,1.0,"2253803: How would you rate the fairness ofExam 2?
Fair means the material was covered in the course and you should be expected to know it.
(difficult does not mean the exam was unfair)",1.0,"2253804: If a future student were to ask the best way to study for an exam, what material would you suggest?",1.0,"2253805: Please provide any general thoughts or critiques you may have concerning the material (Chapter 5-8) and its use in class. If none, leave blank.
If you think that some of the material is stupid or worthless, then feel free to say so. However please indicate why you think it is stupid or worthless.
Similarly, if you think the material is wonderful and perfect, then feel free to say so. However please indicate why you think it is wonderful and perfect.
I rely on your feedback for improving this course for future students!",1.0,n correct,n incorrect,score
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-29 21:07:41 UTC,1,0,1.0,Monday,1.0,4- Somewhat difficult,0.0,4 -,0.0,5-7 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,Posit Cloud,1.0,1 - 3 times,0.0,Aha Slides makes lectures more engaging,1.0,Yes,1.0,4- Somewhat difficult,0.0,4 - fair,0.0,"Review Activities,Review Reading Checks",0.0,"I believe that spending more time on randomization would have been more beneficial because many of the concept questions from the exam was on Chapter 7. Even more quick,  hypothetical questions about experiments would have helped get a better feel more each term. ",0.0,8,7,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-29 20:54:08 UTC,1,1 or 2,0.0,Friday,0.0,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,Posit Cloud,1.0,No,1.0,Aha Slides makes lectures more engaging,1.0,Yes,1.0,4- Somewhat difficult,0.0,4 - fair,0.0,"Review Activities,Practice Exam",0.0,"I thought this exam was fine and there was nothing about the exam that I felt was unfair. There were a couple concept questions that caught me offguard, for example the problem that asked us to estimate the correlation between iq and weight. I talked about it with my PGSG afterwards and everyone said that they thought r=0, but I said that r could be anywhere between 0 and 1 because babies weigh very little and have very low IQs. It was a silly question but I felt like it was kind of out of place on the exam. 

I'm really enjoying the class so far and feel like this class successfully uses the flipped learning model and moves at a good pace. ",0.0,7,8,1.0
2023FA_STAT_202-0_SEC21 Introduction to Statistics and Data Science,194484,4920_16417,2023-10-29 20:46:41 UTC,1,5 or more,0.0,Monday,1.0,4- Somewhat difficult,0.0,4 -,0.0,3-5 hours,0.0,2 -,0.0,Love it - organized and easy to use,1.0,Link,0.0,No,1.0,No opinion on Aha Slides,0.0,No,0.0,3 - Neither difficult nor easy,0.0,3 - Neither fair nor unfair,0.0,Other,0.0,"",0.0,4,11,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-29 20:26:33 UTC,1,1 or 2,0.0,Monday,1.0,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,4 -,0.0,Love it - organized and easy to use,1.0,Link,0.0,1 - 3 times,0.0,Aha Slides makes lectures more engaging,1.0,Yes,1.0,3 - Neither difficult nor easy,0.0,4 - fair,0.0,"Review Reading Checks,End of Chapter Textbook Exercises,Practice Exam",0.0,"",0.0,5,10,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-29 20:22:55 UTC,1,0,1.0,Wednesday,0.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Don't care either way,0.0,Posit Cloud,1.0,No,1.0,Aha Slides makes lectures more engaging,1.0,Yes,1.0,3 - Neither difficult nor easy,0.0,4 - fair,0.0,"Review Activities,End of Chapter Textbook Exercises,Practice Exam",0.0,"",0.0,7,8,1.0
2023FA_STAT_202-0_SEC21 Introduction to Statistics and Data Science,194484,4920_16417,2023-10-29 20:12:57 UTC,1,0,1.0,Wednesday,0.0,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,4 -,0.0,Love it - organized and easy to use,1.0,Link,0.0,No,1.0,Aha Slides makes lectures more engaging,1.0,Yes,1.0,4- Somewhat difficult,0.0,4 - fair,0.0,"Review Activities,Review Reading Checks,Practice Exam",0.0,"",0.0,6,9,1.0
2023FA_STAT_202-0_SEC21 Introduction to Statistics and Data Science,194484,4920_16417,2023-10-29 19:59:50 UTC,1,0,1.0,Wednesday,0.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,Link,0.0,No,1.0,Aha Slides makes lectures more engaging,1.0,Yes,1.0,4- Somewhat difficult,0.0,4 - fair,0.0,"Review Activities,End of Chapter Textbook Exercises,Practice Exam",0.0,"I really enjoyed Unit 2 in comparison to Unit 1. It's nice to be able to apply coding and the use of R to concepts. After studying for Exam 1, I better understood how to prepare for Exam 2 and best navigate succeeding in this course and learning. I feel very supported by my peers and teachers.",0.0,7,8,1.0
2023FA_STAT_202-0_SEC21 Introduction to Statistics and Data Science,194484,4920_16417,2023-10-29 19:44:22 UTC,1,0,1.0,Wednesday,0.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,Link,0.0,1 - 3 times,0.0,Aha Slides makes lectures more engaging,1.0,Not as much as I should have,0.0,4- Somewhat difficult,0.0,3 - Neither fair nor unfair,0.0,"Review Activities,Review Reading Checks",0.0,"",0.0,5,10,1.0
2023FA_STAT_202-0_SEC21 Introduction to Statistics and Data Science,194484,4920_16417,2023-10-29 19:34:58 UTC,1,5 or more,0.0,Wednesday,0.0,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,Posit Cloud,1.0,No,1.0,Aha Slides makes lectures more engaging,1.0,Yes,1.0,3 - Neither difficult nor easy,0.0,4 - fair,0.0,"Review Activities,Review Reading Checks,Practice Exam",0.0,"I felt that the multiple regression chapter was a bit rushed, and it would have been better to have a bit more time for that because the complexity of the coding does increase a bit",0.0,7,8,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-29 19:24:14 UTC,1,1 or 2,0.0,Friday,0.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Don't care either way,0.0,Posit Cloud,1.0,1 - 3 times,0.0,No opinion on Aha Slides,0.0,Yes,1.0,4- Somewhat difficult,0.0,4 - fair,0.0,"Review Activities,Review Reading Checks,Practice Exam",0.0,Material was much harder. Wish there were more practice questions on the practice exam. ,0.0,4,11,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-29 18:51:06 UTC,1,3 or 4,0.0,Monday,1.0,4- Somewhat difficult,0.0,4 -,0.0,5-7 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,Posit Cloud,1.0,No,1.0,Aha Slides makes lectures more engaging,1.0,Yes,1.0,5 - Very difficult,1.0,1 - Very unfair (how should I know this),0.0,Practice Exam,0.0,"I thought the material itself was good/useful. I thought the exam was unfair. I studied much more for this exam than the first one, and did worse on it for a number of reasons: 1) App2 part 3, I had trouble storing the model, so although the rest of my code was correct, I got penalized by that through the rest of my exam (since the model wouldn't store, I couldn't do the simple calculation and get those easy points). I knew all of the material and how to apply it, but did not think the application questions were reasonable. ",0.0,9,6,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-29 18:19:31 UTC,1,1 or 2,0.0,Friday,0.0,4- Somewhat difficult,0.0,5 - Too demanding,1.0,7 or more hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,Link,0.0,No,1.0,No opinion on Aha Slides,0.0,Yes,1.0,4- Somewhat difficult,0.0,5 - Very fair (all topics were covered),1.0,"Review Activities,Review Reading Checks,Practice Exam",0.0,"",0.0,7,8,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-29 17:09:41 UTC,1,0,1.0,Monday,1.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,3 - Neutral (don't care one way or another),0.0,Love it - organized and easy to use,1.0,Posit Cloud,1.0,No,1.0,Aha Slides makes lectures more engaging,1.0,Not as much as I should have,0.0,3 - Neither difficult nor easy,0.0,4 - fair,0.0,"Review Activities,Review Reading Checks,Practice Exam",0.0,"",0.0,7,8,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-29 16:57:12 UTC,1,0,1.0,Monday,1.0,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Don't care either way,0.0,Posit Cloud,1.0,No,1.0,Aha Slides makes lectures more engaging,1.0,Yes,1.0,3 - Neither difficult nor easy,0.0,4 - fair,0.0,"Review Activities,Practice Exam",0.0,"There was one question on the test that caught me off guard. It asked for us to guess the correlation between intelligence and weight. We didn't have any data, so I had to make an assumption on the correlation, which is something I don't think I'm supposed to learn in this class. ",0.0,8,7,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-29 16:53:13 UTC,1,1 or 2,0.0,Friday,0.0,5 - Very difficult,1.0,4 -,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,Link,0.0,1 - 3 times,0.0,Aha Slides makes lectures more engaging,1.0,Yes,1.0,5 - Very difficult,1.0,3 - Neither fair nor unfair,0.0,"Review Activities,Review Reading Checks,End of Chapter Textbook Exercises,Practice Exam",0.0,"",0.0,7,8,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-29 16:52:48 UTC,1,0,1.0,Monday,1.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,5-7 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,Posit Cloud,1.0,1 - 3 times,0.0,Aha Slides makes lectures more engaging,1.0,Yes,1.0,4- Somewhat difficult,0.0,4 - fair,0.0,"Review Activities,End of Chapter Textbook Exercises,Practice Exam",0.0,"I think everything is very fair and you guys are so helpful, I really appreciate all of the support I feel from the course and as someone who is not the biggest fan of math/coding, I feel as though this class is very do-able if you put in the time and effort. ",0.0,8,7,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-29 16:18:57 UTC,1,0,1.0,Monday,1.0,4- Somewhat difficult,0.0,4 -,0.0,3-5 hours,0.0,4 -,0.0,Don't care either way,0.0,Posit Cloud,1.0,1 - 3 times,0.0,No opinion on Aha Slides,0.0,Yes,1.0,4- Somewhat difficult,0.0,3 - Neither fair nor unfair,0.0,Other,0.0,We learned chapter 4 but were not explicitly tested. ,0.0,5,10,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-29 15:58:34 UTC,1,3 or 4,0.0,Wednesday,0.0,3 - Neither difficult nor easy,0.0,4 -,0.0,3-5 hours,0.0,3 - Neutral (don't care one way or another),0.0,Don't care either way,0.0,Link,0.0,1 - 3 times,0.0,Aha Slides provide no benefit to lecture,0.0,Yes,1.0,4- Somewhat difficult,0.0,4 - fair,0.0,End of Chapter Textbook Exercises,0.0,"",0.0,2,13,1.0
2023FA_STAT_202-0_SEC21 Introduction to Statistics and Data Science,194484,4920_16417,2023-10-29 04:43:29 UTC,1,5 or more,0.0,Monday,1.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,3 - Neutral (don't care one way or another),0.0,Love it - organized and easy to use,1.0,Link,0.0,No,1.0,No opinion on Aha Slides,0.0,Yes,1.0,4- Somewhat difficult,0.0,5 - Very fair (all topics were covered),1.0,"Review Activities,Practice Exam,Other",0.0,"",0.0,6,9,1.0
2023FA_STAT_202-0_SEC21 Introduction to Statistics and Data Science,194484,4920_16417,2023-10-29 02:32:05 UTC,1,1 or 2,0.0,Monday,1.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,5-7 hours,0.0,2 -,0.0,Love it - organized and easy to use,1.0,Link,0.0,1 - 3 times,0.0,Aha Slides provide no benefit to lecture,0.0,Yes,1.0,4- Somewhat difficult,0.0,4 - fair,0.0,Practice Exam,0.0,"",0.0,4,11,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-29 02:24:32 UTC,1,1 or 2,0.0,Friday,0.0,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,0-1 hours,1.0,3 - Neutral (don't care one way or another),0.0,Don't care either way,0.0,Posit Cloud,1.0,1 - 3 times,0.0,Aha Slides provide no benefit to lecture,0.0,Not as much as I should have,0.0,3 - Neither difficult nor easy,0.0,4 - fair,0.0,"End of Chapter Textbook Exercises,Practice Exam",0.0,No comments,0.0,3,12,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-29 02:24:01 UTC,1,1 or 2,0.0,Friday,0.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,Link,0.0,1 - 3 times,0.0,Aha Slides provide no benefit to lecture,0.0,Yes,1.0,4- Somewhat difficult,0.0,5 - Very fair (all topics were covered),1.0,"Review Activities,End of Chapter Textbook Exercises,Practice Exam",0.0,I think the class is great,0.0,5,10,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-29 02:22:52 UTC,1,0,1.0,Monday,1.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,Link,0.0,No,1.0,Aha Slides makes lectures more engaging,1.0,Yes,1.0,3 - Neither difficult nor easy,0.0,5 - Very fair (all topics were covered),1.0,"Review Activities,Review Reading Checks,Practice Exam",0.0,"All good, I like the course, the instruction, the activities, everything!",0.0,9,6,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-28 22:40:08 UTC,1,0,1.0,Friday,0.0,4- Somewhat difficult,0.0,4 -,0.0,5-7 hours,0.0,2 -,0.0,Love it - organized and easy to use,1.0,Link,0.0,No,1.0,Aha Slides makes lectures more engaging,1.0,Not as much as I should have,0.0,4- Somewhat difficult,0.0,4 - fair,0.0,"Review Activities,Review Reading Checks,Practice Exam",0.0,"I believe the material covering Chapter 5-8 was not necessarily presented unfairly on the exam, however, I do believe more time needed to be devoted to practicing these codes. The codes on the first exam were relatively simple even for someone who had never taken Computer Science before. However, the codes began to become exponentially harder with the beginning of regression, especially with the different types of linear regression models. I also believe that the concepts were not covered sufficiently in the class lectures during Chapters 5 - 8. ",0.0,5,10,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-28 22:19:45 UTC,1,1 or 2,0.0,Friday,0.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,Link,0.0,No,1.0,No opinion on Aha Slides,0.0,Yes,1.0,4- Somewhat difficult,0.0,3 - Neither fair nor unfair,0.0,"Review Activities,Review Reading Checks,Practice Exam",0.0,"",0.0,5,10,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-28 22:00:27 UTC,1,1 or 2,0.0,Monday,1.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,Link,0.0,No,1.0,Aha Slides makes lectures more engaging,1.0,Yes,1.0,4- Somewhat difficult,0.0,4 - fair,0.0,"Review Activities,Review Reading Checks,Practice Exam",0.0,/,0.0,7,8,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-28 21:41:15 UTC,1,3 or 4,0.0,Monday,1.0,4- Somewhat difficult,0.0,2 -,0.0,3-5 hours,0.0,2 -,0.0,Love it - organized and easy to use,1.0,Link,0.0,No,1.0,No opinion on Aha Slides,0.0,Yes,1.0,4- Somewhat difficult,0.0,4 - fair,0.0,"Review Activities,Practice Exam",0.0,"",0.0,5,10,1.0
2023FA_STAT_202-0_SEC21 Introduction to Statistics and Data Science,194484,4920_16417,2023-10-28 19:31:16 UTC,1,0,1.0,Friday,0.0,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,2 -,0.0,Don't care either way,0.0,Link,0.0,No,1.0,No opinion on Aha Slides,0.0,Not as much as I should have,0.0,3 - Neither difficult nor easy,0.0,3 - Neither fair nor unfair,0.0,"Practice Exam,Other",0.0,none,0.0,3,12,1.0
2023FA_STAT_202-0_SEC21 Introduction to Statistics and Data Science,194484,4920_16417,2023-10-28 17:23:49 UTC,1,3 or 4,0.0,Friday,0.0,2 - Somewhat easy,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,1 - Not useful (waste of time),0.0,Love it - organized and easy to use,1.0,Link,0.0,No,1.0,No opinion on Aha Slides,0.0,Yes,1.0,2 - Somewhat easy,0.0,4 - fair,0.0,"Review Activities,Review Reading Checks,Practice Exam",0.0,"I think the class structure is really quite odd in that it's a flipped classroom, but we're also graded on participation in class. The reason I find this odd is that class time feels like a mandatory office hours. Lecture feels like a tldr of the notes and feels remarkably like a waste of time because the required readings effectively cover everything in lecture in greater detail before even going to lecture. If lecture introduced something substantially new or important specific examples that the readings themselves didn't already prove equally as or moreso effectively, but as is, it's mostly just preparing for and doing the activity which can just as easily be done as homework. I think the readings have been phenomenal in that they are comprehensive, interactive, practice/application based, and clear and I have learned so much from them. This unfortunately comes at the detriment that having a participation grade feels more like a burden because of how obsolete the readings make the lecture. ",0.0,4,11,1.0
2023FA_STAT_202-0_SEC21 Introduction to Statistics and Data Science,194484,4920_16417,2023-10-28 17:19:07 UTC,1,1 or 2,0.0,Wednesday,0.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,3 - Neutral (don't care one way or another),0.0,Don't care either way,0.0,Link,0.0,1 - 3 times,0.0,Aha Slides provide no benefit to lecture,0.0,Yes,1.0,4- Somewhat difficult,0.0,4 - fair,0.0,"Review Activities,End of Chapter Textbook Exercises,Practice Exam",0.0,"",0.0,2,13,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-28 16:02:38 UTC,1,1 or 2,0.0,Wednesday,0.0,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,Posit Cloud,1.0,1 - 3 times,0.0,Aha Slides provide no benefit to lecture,0.0,Yes,1.0,3 - Neither difficult nor easy,0.0,5 - Very fair (all topics were covered),1.0,"Review Activities,Review Reading Checks,Practice Exam",0.0,"",0.0,6,9,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-28 15:33:31 UTC,1,3 or 4,0.0,Monday,1.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,Posit Cloud,1.0,1 - 3 times,0.0,Aha Slides makes lectures more engaging,1.0,Not as much as I should have,0.0,3 - Neither difficult nor easy,0.0,5 - Very fair (all topics were covered),1.0,"Review Activities,Review Reading Checks,End of Chapter Textbook Exercises,Practice Exam",0.0,"",0.0,7,8,1.0
2023FA_STAT_202-0_SEC21 Introduction to Statistics and Data Science,194484,4920_16417,2023-10-28 15:00:57 UTC,1,1 or 2,0.0,Wednesday,0.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,Posit Cloud,1.0,No,1.0,Aha Slides makes lectures more engaging,1.0,Yes,1.0,2 - Somewhat easy,0.0,5 - Very fair (all topics were covered),1.0,"End of Chapter Textbook Exercises,Practice Exam,Other",0.0,"",0.0,8,7,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-28 03:34:00 UTC,1,0,1.0,Monday,1.0,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,4 -,0.0,Love it - organized and easy to use,1.0,Posit Cloud,1.0,No,1.0,Aha Slides makes lectures more engaging,1.0,Yes,1.0,4- Somewhat difficult,0.0,4 - fair,0.0,Practice Exam,0.0,"",0.0,8,7,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-28 03:19:28 UTC,1,1 or 2,0.0,Wednesday,0.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,Link,0.0,No,1.0,No opinion on Aha Slides,0.0,Yes,1.0,4- Somewhat difficult,0.0,4 - fair,0.0,"Review Activities,Practice Exam",0.0,"",0.0,5,10,1.0
2023FA_STAT_202-0_SEC21 Introduction to Statistics and Data Science,194484,4920_16417,2023-10-28 02:50:14 UTC,1,0,1.0,Monday,1.0,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,4 -,0.0,Love it - organized and easy to use,1.0,Posit Cloud,1.0,No,1.0,No opinion on Aha Slides,0.0,Yes,1.0,3 - Neither difficult nor easy,0.0,5 - Very fair (all topics were covered),1.0,"Review Activities,Review Reading Checks,End of Chapter Textbook Exercises,Practice Exam",0.0,"The only real critique I have is with the reading checks. Sometimes I wish it were clearer how our answers are supposed to be formatted when the answer is written, i.e. the reading check where Simpson's Paradox was supposed to be submitted as simpsons paradox, without capitalization or punctuation. I have no qualms with the material and its use in class; I still think that the activities are useful in reinforcing the main ideas of the textbook. I do think that this section made more sense to me than the last section in the sense that it related more to what my initial perception of what statistics is outside of coding with R.",0.0,8,7,1.0
2023FA_STAT_202-0_SEC21 Introduction to Statistics and Data Science,194484,4920_16417,2023-10-27 23:49:52 UTC,1,1 or 2,0.0,Wednesday,0.0,3 - Neither difficult nor easy,0.0,4 -,0.0,3-5 hours,0.0,2 -,0.0,Love it - organized and easy to use,1.0,Link,0.0,No,1.0,Aha Slides provide no benefit to lecture,0.0,Yes,1.0,3 - Neither difficult nor easy,0.0,5 - Very fair (all topics were covered),1.0,"Review Activities,End of Chapter Textbook Exercises,Practice Exam",0.0,"I think the material covered was fair, and the second exam was certainly more difficult than the first however the depth of activities was also furthered so it made it a bit easier studying to refresh. I do believe it became a little tedious near the end of this section, however altogether pretty fair expectations.",0.0,5,10,1.0
2023FA_STAT_202-0_SEC21 Introduction to Statistics and Data Science,194484,4920_16417,2023-10-27 23:29:37 UTC,1,0,1.0,Monday,1.0,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,3 - Neutral (don't care one way or another),0.0,Love it - organized and easy to use,1.0,Link,0.0,No,1.0,Aha Slides provide no benefit to lecture,0.0,Yes,1.0,3 - Neither difficult nor easy,0.0,5 - Very fair (all topics were covered),1.0,"End of Chapter Textbook Exercises,Practice Exam",0.0,"",0.0,7,8,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-27 22:08:47 UTC,1,1 or 2,0.0,Friday,0.0,4- Somewhat difficult,0.0,4 -,0.0,3-5 hours,0.0,3 - Neutral (don't care one way or another),0.0,Don't care either way,0.0,Link,0.0,1 - 3 times,0.0,Aha Slides provide no benefit to lecture,0.0,Yes,1.0,4- Somewhat difficult,0.0,4 - fair,0.0,Review Reading Checks,0.0,N/A,0.0,2,13,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-27 21:29:17 UTC,1,3 or 4,0.0,Wednesday,0.0,4- Somewhat difficult,0.0,4 -,0.0,3-5 hours,0.0,3 - Neutral (don't care one way or another),0.0,Hate it - go back to Canvas,0.0,Posit Cloud,1.0,1 - 3 times,0.0,Aha Slides provide no benefit to lecture,0.0,Yes,1.0,3 - Neither difficult nor easy,0.0,4 - fair,0.0,"End of Chapter Textbook Exercises,Practice Exam,Other",0.0,"",0.0,3,12,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-27 21:20:40 UTC,1,1 or 2,0.0,Monday,1.0,2 - Somewhat easy,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,Link,0.0,No,1.0,No opinion on Aha Slides,0.0,Yes,1.0,3 - Neither difficult nor easy,0.0,5 - Very fair (all topics were covered),1.0,"Review Reading Checks,Practice Exam",0.0,"",0.0,7,8,1.0
2023FA_STAT_202-0_SEC21 Introduction to Statistics and Data Science,194484,4920_16417,2023-10-27 21:05:36 UTC,1,0,1.0,Monday,1.0,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,Posit Cloud,1.0,1 - 3 times,0.0,Aha Slides makes lectures more engaging,1.0,Yes,1.0,3 - Neither difficult nor easy,0.0,4 - fair,0.0,"Review Activities,Review Reading Checks,End of Chapter Textbook Exercises,Practice Exam",0.0,"",0.0,8,7,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-27 20:50:12 UTC,1,0,1.0,Wednesday,0.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,Posit Cloud,1.0,1 - 3 times,0.0,Aha Slides makes lectures more engaging,1.0,Yes,1.0,4- Somewhat difficult,0.0,5 - Very fair (all topics were covered),1.0,"Review Reading Checks,Practice Exam",0.0,"",0.0,8,7,1.0
2023FA_STAT_202-0_SEC21 Introduction to Statistics and Data Science,194484,4920_16417,2023-10-27 20:26:11 UTC,1,0,1.0,Wednesday,0.0,2 - Somewhat easy,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,2 -,0.0,Love it - organized and easy to use,1.0,Posit Cloud,1.0,No,1.0,No opinion on Aha Slides,0.0,Yes,1.0,2 - Somewhat easy,0.0,5 - Very fair (all topics were covered),1.0,Practice Exam,0.0,"I like that the course moves slowly and goes into great depth since it's important to have a full understanding of basic stats for future courses.

I am finding the course easy and it feels slightly unnecessary to go into so much detail during lecture if I have already read the textbook sections we're covering and done a reading check on them. Maybe it would be more helpful to only cover the challenging/very salient sections of the content and leave more time to work on the activity and ask questions–maybe also having more intentional opportunities for students to ask questions to the whole class.",0.0,7,8,1.0
